cnpj;ticker;denominacao;gestor;segmento_b3;classificacao_scout;observacoes
48643091000100;;B- INDEX MORNINGSTAR BRASIL MOMENTO FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;BANCO BRADESCO S.A.;ETF;Ações Brasil;
48643130000179;;B-INDEX MORNINGSTAR BRASIL PESOS IGUAIS FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;BANCO BRADESCO S.A.;ETF;Ações Brasil;
48643170000110;;B-INDEX MORNINGSTAR SETORES CICLICOS BRASIL FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;BANCO BRADESCO S.A.;ETF;Ações Brasil;
48643220000160;;B-INDEX MORNINGSTAR SETORES DEFENSIVOS BRASIL FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;BANCO BRADESCO S.A.;ETF;Ações Brasil;
34606480000150;;BB ETF IBOVESPA FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;BB GESTAO DE RECURSOS DTVM S.A;ETF;Ações Brasil;
17817528000150;;BB ETF S&P DIVIDENDOS BRASIL FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;BB GESTAO DE RECURSOS DTVM S.A;ETF;Ações Brasil;sinais no nome: Ações Internacionais + Ações Brasil
57848980000102;;BB ETF ÍNDICE BOVESPA B3 BR+ FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;BB GESTAO DE RECURSOS DTVM S.A;ETF;Ações Brasil;
52203750000164;;BB ETF ÍNDICE DIVERSIDADE B3 INVESTIMENTO SUSTENTÁVEL FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;BB GESTAO DE RECURSOS DTVM S.A;ETF;Ações Brasil;
42427783000134;;BTG PACTUAL B3 IBOVESPA FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF;Ações Brasil;
37843293000189;;BTG PACTUAL ESG FUNDO DE ÍNDICE S&P/B3 BRAZIL ESG;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF;Ações Brasil;sinais no nome: Ações Internacionais + Ações Brasil
42682281000150;;BTG PACTUAL SMLL B3 FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF;Ações Brasil;
61273759000132;;BTG PACTUAL TEVA AUVP AÇÕES FUNDAMENTOS FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF;Ações Brasil;
63905124000136;;BTG PACTUAL TEVA AUVP ITBR LIQUIDEZ FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF-RF;Ações Brasil;
43391410000113;;BTG PACTUAL TEVA AÇÕES COMMODITIES BRASIL FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF;Ações Brasil;sinais no nome: Commodities + Ações Brasil
57063444000193;;BTG PACTUAL TEVA DIVIDENDOS ATIVOS REAIS LISTADOS FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF;Ações Brasil;
59506849000184;;BTG PACTUAL TEVA IABR SELECTOR FUNDO DE ÍNDICE;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;ETF;Ações Brasil;
14120533000111;;CAIXA ETF IBOVESPA FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;CAIXA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRI;ETF;Ações Brasil;
43140303000112;;ETF TRÍGONO TEVA AÇÕES MICRO CAP / SMALL CAP FUNDO DE ÍNDICE;TRÍGONO CAPITAL LTDA;ETF;Ações Brasil;
32203211000118;;FUNDO DE INVESTIMENTO DE ÍNDICE - CLASSE DE INVESTIMENTO ETF BRADESCO IBOVESPA - RESP LIMITADA;BANCO BRADESCO S.A.;ETF;Ações Brasil;
62494142000100;;INVESTO B3 UTILIDADE PÚBLICA FUNDO DE ÍNDICE;INVESTO GESTÃO DE RECURSOS LTDA.;ETF;Ações Brasil;
